"","sigma.mult","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1",1,0.058,0.056,0.054,0.07,0.068,0.068,0.07,0.054,0.062,0.052,0.042,0.058,0.046,0.066,0.056,0.064,0.064,0.07,0.048,0.05,0.058,0.058,0.054,0.062,0.05,0.062,0.06,0.06,0.06,0.036,0.06,0.052,0.056,0.054,0.054,0.032,0.056,0.036,0.046,0.038,0.048,0.048,0.052,0.052,0.042,0.072,0.058,0.046,0.056,0.068
"2",1.02,0.044,0.048,0.076,0.048,0.05,0.07,0.052,0.038,0.058,0.06,0.06,0.06,0.076,0.058,0.064,0.052,0.034,0.044,0.062,0.058,0.058,0.04,0.07,0.046,0.064,0.052,0.052,0.038,0.04,0.072,0.044,0.056,0.064,0.054,0.058,0.046,0.042,0.072,0.068,0.05,0.064,0.05,0.038,0.038,0.046,0.062,0.046,0.064,0.058,0.08
"3",1.04,0.03,0.06,0.062,0.048,0.046,0.052,0.056,0.054,0.042,0.072,0.052,0.062,0.062,0.058,0.056,0.058,0.064,0.08,0.056,0.04,0.062,0.066,0.072,0.066,0.056,0.066,0.056,0.042,0.04,0.064,0.054,0.054,0.06,0.048,0.044,0.064,0.044,0.066,0.06,0.044,0.04,0.034,0.046,0.05,0.064,0.058,0.062,0.054,0.066,0.06
"4",1.06,0.058,0.062,0.066,0.066,0.056,0.068,0.086,0.076,0.046,0.054,0.072,0.08,0.07,0.072,0.074,0.064,0.076,0.066,0.058,0.064,0.078,0.072,0.08,0.054,0.052,0.058,0.06,0.054,0.062,0.058,0.082,0.068,0.086,0.058,0.064,0.07,0.038,0.054,0.056,0.044,0.07,0.074,0.056,0.064,0.066,0.056,0.072,0.064,0.05,0.072
"5",1.08,0.066,0.068,0.074,0.054,0.058,0.072,0.072,0.078,0.064,0.064,0.066,0.084,0.064,0.078,0.07,0.07,0.072,0.086,0.072,0.06,0.066,0.092,0.078,0.058,0.088,0.074,0.07,0.06,0.092,0.076,0.054,0.068,0.062,0.084,0.066,0.064,0.072,0.08,0.052,0.1,0.074,0.062,0.074,0.06,0.064,0.068,0.05,0.076,0.08,0.068
"6",1.1,0.078,0.086,0.104,0.084,0.072,0.098,0.096,0.108,0.084,0.056,0.068,0.06,0.074,0.092,0.084,0.094,0.072,0.084,0.068,0.084,0.078,0.118,0.07,0.078,0.086,0.054,0.086,0.072,0.07,0.076,0.092,0.078,0.08,0.098,0.07,0.072,0.078,0.07,0.088,0.074,0.088,0.078,0.082,0.108,0.056,0.08,0.102,0.078,0.084,0.076
"7",1.12,0.088,0.112,0.112,0.086,0.092,0.092,0.086,0.09,0.084,0.11,0.104,0.104,0.084,0.098,0.074,0.112,0.1,0.094,0.09,0.096,0.076,0.102,0.102,0.088,0.114,0.11,0.096,0.1,0.114,0.086,0.124,0.12,0.11,0.064,0.072,0.096,0.1,0.13,0.09,0.112,0.112,0.09,0.12,0.088,0.122,0.104,0.124,0.102,0.098,0.09
"8",1.14,0.098,0.114,0.108,0.14,0.106,0.092,0.146,0.112,0.092,0.096,0.096,0.096,0.112,0.128,0.122,0.104,0.122,0.096,0.112,0.124,0.122,0.104,0.104,0.114,0.102,0.112,0.088,0.092,0.12,0.112,0.114,0.112,0.116,0.104,0.138,0.094,0.098,0.088,0.104,0.112,0.152,0.104,0.122,0.126,0.084,0.122,0.104,0.108,0.124,0.114
"9",1.16,0.132,0.142,0.12,0.124,0.124,0.116,0.13,0.116,0.132,0.092,0.152,0.152,0.12,0.126,0.144,0.12,0.14,0.106,0.11,0.128,0.144,0.138,0.112,0.126,0.132,0.13,0.116,0.15,0.136,0.132,0.136,0.132,0.134,0.144,0.172,0.116,0.114,0.122,0.138,0.128,0.112,0.128,0.112,0.142,0.134,0.108,0.142,0.136,0.122,0.13
"10",1.18,0.158,0.174,0.188,0.17,0.146,0.14,0.162,0.144,0.16,0.124,0.14,0.152,0.146,0.154,0.142,0.144,0.156,0.182,0.168,0.14,0.16,0.132,0.13,0.118,0.142,0.182,0.146,0.166,0.154,0.132,0.168,0.188,0.152,0.14,0.152,0.172,0.132,0.148,0.152,0.14,0.172,0.136,0.142,0.16,0.15,0.164,0.16,0.154,0.13,0.166
"11",1.2,0.176,0.184,0.178,0.176,0.178,0.16,0.198,0.182,0.162,0.154,0.174,0.208,0.184,0.162,0.172,0.188,0.17,0.16,0.164,0.194,0.168,0.17,0.174,0.154,0.174,0.184,0.196,0.15,0.168,0.162,0.19,0.18,0.146,0.19,0.18,0.184,0.172,0.16,0.16,0.154,0.172,0.18,0.164,0.162,0.174,0.162,0.186,0.21,0.166,0.172
