"","sigma.mult","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1",1,0.026,0.03,0.032,0.032,0.02,0.012,0.016,0.018,0.024,0.028,0.026,0.022,0.022,0.026,0.026,0.022,0.026,0.026,0.038,0.03,0.024,0.028,0.048,0.024,0.038,0.018,0.016,0.018,0.016,0.036,0.026,0.02,0.014,0.02,0.026,0.016,0.018,0.032,0.02,0.026,0.024,0.022,0.018,0.03,0.04,0.018,0.024,0.024,0.022,0.016
"2",1.02,0.026,0.022,0.03,0.022,0.026,0.036,0.024,0.028,0.028,0.032,0.022,0.024,0.014,0.028,0.028,0.026,0.038,0.02,0.026,0.024,0.026,0.02,0.026,0.02,0.02,0.012,0.022,0.044,0.026,0.022,0.022,0.032,0.026,0.022,0.03,0.022,0.024,0.03,0.022,0.028,0.018,0.024,0.016,0.028,0.026,0.02,0.02,0.026,0.022,0.028
"3",1.04,0.034,0.028,0.03,0.032,0.04,0.028,0.018,0.03,0.04,0.03,0.01,0.034,0.04,0.034,0.014,0.04,0.034,0.03,0.022,0.026,0.04,0.026,0.024,0.028,0.024,0.018,0.022,0.028,0.016,0.016,0.034,0.05,0.038,0.028,0.028,0.022,0.03,0.03,0.032,0.024,0.016,0.024,0.038,0.028,0.034,0.048,0.038,0.024,0.028,0.032
"4",1.06,0.048,0.034,0.036,0.03,0.032,0.034,0.02,0.038,0.036,0.022,0.022,0.03,0.038,0.048,0.04,0.026,0.05,0.028,0.034,0.038,0.022,0.04,0.046,0.046,0.044,0.048,0.038,0.038,0.036,0.04,0.038,0.022,0.03,0.036,0.034,0.048,0.028,0.042,0.042,0.036,0.038,0.018,0.038,0.04,0.044,0.038,0.032,0.022,0.04,0.03
"5",1.08,0.038,0.04,0.038,0.048,0.032,0.03,0.048,0.026,0.052,0.046,0.028,0.038,0.032,0.05,0.05,0.054,0.06,0.024,0.032,0.044,0.028,0.04,0.056,0.046,0.046,0.048,0.042,0.054,0.022,0.044,0.046,0.042,0.03,0.034,0.044,0.04,0.038,0.032,0.044,0.052,0.038,0.022,0.048,0.044,0.034,0.046,0.04,0.044,0.042,0.03
"6",1.1,0.06,0.058,0.072,0.072,0.06,0.04,0.048,0.062,0.056,0.082,0.058,0.058,0.056,0.06,0.066,0.05,0.06,0.042,0.042,0.056,0.03,0.076,0.066,0.048,0.046,0.042,0.056,0.048,0.05,0.038,0.06,0.052,0.06,0.054,0.054,0.048,0.058,0.06,0.056,0.044,0.056,0.04,0.056,0.072,0.066,0.054,0.052,0.048,0.062,0.056
"7",1.12,0.048,0.074,0.07,0.066,0.074,0.07,0.07,0.072,0.04,0.08,0.078,0.064,0.08,0.082,0.068,0.07,0.078,0.056,0.048,0.062,0.072,0.08,0.06,0.096,0.06,0.078,0.07,0.062,0.056,0.07,0.086,0.06,0.066,0.086,0.05,0.056,0.082,0.066,0.072,0.048,0.07,0.068,0.068,0.076,0.088,0.064,0.058,0.06,0.074,0.044
"8",1.14,0.096,0.086,0.082,0.078,0.094,0.092,0.09,0.09,0.118,0.114,0.104,0.082,0.08,0.068,0.086,0.11,0.092,0.088,0.108,0.114,0.102,0.098,0.116,0.074,0.096,0.084,0.088,0.096,0.106,0.074,0.07,0.082,0.094,0.064,0.084,0.104,0.088,0.104,0.082,0.084,0.116,0.09,0.096,0.104,0.1,0.116,0.098,0.094,0.1,0.076
"9",1.16,0.106,0.116,0.108,0.092,0.132,0.136,0.146,0.108,0.1,0.13,0.156,0.13,0.114,0.126,0.12,0.146,0.108,0.114,0.118,0.124,0.102,0.124,0.1,0.122,0.128,0.122,0.132,0.118,0.14,0.146,0.106,0.116,0.11,0.122,0.122,0.112,0.118,0.128,0.11,0.114,0.102,0.112,0.1,0.128,0.132,0.116,0.122,0.132,0.128,0.11
"10",1.18,0.152,0.16,0.168,0.162,0.176,0.192,0.176,0.17,0.168,0.192,0.178,0.156,0.164,0.166,0.17,0.19,0.156,0.172,0.186,0.162,0.146,0.188,0.18,0.172,0.168,0.186,0.142,0.15,0.17,0.178,0.146,0.166,0.192,0.158,0.188,0.172,0.154,0.166,0.15,0.156,0.14,0.184,0.142,0.166,0.18,0.166,0.174,0.19,0.154,0.178
"11",1.2,0.228,0.216,0.206,0.204,0.236,0.24,0.234,0.212,0.218,0.22,0.234,0.214,0.19,0.228,0.174,0.224,0.25,0.216,0.236,0.204,0.222,0.184,0.224,0.218,0.226,0.21,0.242,0.232,0.202,0.232,0.194,0.238,0.212,0.206,0.214,0.202,0.188,0.208,0.214,0.218,0.234,0.248,0.22,0.252,0.222,0.188,0.214,0.23,0.226,0.176
