"","sigma.mult","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1",1,0.018,0.008,0.012,0.004,0.006,0.006,0.004,0.004,0.006,0.004,0.006,0.008,0.006,0.006,0.002,0.008,0.004,0.004,0.006,0,0.002,0.006,0.01,0.004,0.006,0.008,0.006,0.004,0.006,0,0,0.002,0.006,0.008,0.004,0.01,0,0.006,0.004,0.006,0.016,0.006,0.002,0.002,0.012,0.002,0.008,0.002,0.004,0.006
"2",1.02,0.004,0.006,0.016,0.006,0.014,0.01,0.004,0.004,0.002,0,0.002,0.008,0.006,0.008,0.008,0.006,0.008,0.012,0.01,0.008,0.008,0.008,0,0.006,0.004,0.002,0.014,0,0.004,0.006,0.006,0.004,0.002,0,0.002,0.002,0.002,0.008,0,0.006,0.004,0.008,0.008,0.01,0.006,0.004,0.008,0.012,0.006,0.008
"3",1.04,0.006,0.01,0.004,0.002,0.002,0.012,0.01,0.002,0.004,0.002,0.002,0.002,0.004,0.006,0.002,0.012,0.012,0.012,0.002,0.014,0.014,0.012,0.014,0.008,0.008,0.01,0.014,0.008,0.004,0.004,0.01,0.008,0.006,0.006,0.006,0.002,0.01,0,0.004,0,0.006,0.002,0.002,0.012,0.004,0.012,0.014,0.002,0.002,0.004
"4",1.06,0.006,0,0.012,0.014,0.01,0.002,0.008,0.014,0.012,0.01,0.006,0.012,0.014,0.002,0.006,0.002,0.004,0.004,0.01,0.006,0.004,0.004,0.016,0.016,0.006,0.008,0.008,0.006,0.014,0.014,0.004,0.006,0.014,0.01,0.012,0.014,0.004,0.014,0.006,0.004,0.004,0.006,0.002,0.01,0.008,0.012,0.004,0.01,0.004,0.016
"5",1.08,0.014,0.01,0.004,0.016,0.002,0.014,0.008,0.008,0.006,0.012,0.008,0.01,0.008,0.008,0.006,0.008,0.014,0.014,0.016,0.01,0.018,0.006,0.004,0.002,0.012,0.01,0.012,0.014,0.01,0.012,0.004,0.006,0.01,0.008,0.01,0.01,0.002,0.018,0.008,0.01,0.01,0.01,0.016,0.008,0.004,0.014,0.006,0.014,0.004,0.01
"6",1.1,0.008,0.008,0.012,0.022,0.014,0.016,0.02,0.004,0.014,0.002,0.014,0.032,0.026,0.016,0.02,0.016,0.016,0.018,0.006,0.01,0.018,0.01,0.016,0.014,0.012,0.012,0.014,0.014,0.016,0.018,0.01,0.014,0.016,0.014,0.016,0.008,0.012,0.018,0.008,0.01,0.016,0.02,0.01,0.008,0.016,0.018,0.012,0.008,0.006,0.022
"7",1.12,0.022,0.02,0.014,0.02,0.016,0.022,0.022,0.024,0.02,0.024,0.02,0.012,0.012,0.02,0.016,0.022,0.014,0.014,0.014,0.012,0.014,0.016,0.016,0.026,0.012,0.018,0.034,0.018,0.016,0.016,0.016,0.012,0.01,0.018,0.026,0.022,0.02,0.022,0.036,0.026,0.012,0.022,0.018,0.014,0.012,0.018,0.012,0.026,0.014,0.012
"8",1.14,0.034,0.03,0.026,0.026,0.02,0.02,0.02,0.02,0.028,0.02,0.03,0.024,0.024,0.014,0.03,0.022,0.032,0.028,0.036,0.022,0.032,0.022,0.022,0.03,0.03,0.014,0.028,0.03,0.018,0.024,0.02,0.022,0.032,0.024,0.018,0.02,0.026,0.016,0.028,0.028,0.032,0.022,0.028,0.034,0.03,0.032,0.018,0.028,0.018,0.02
"9",1.16,0.042,0.036,0.03,0.042,0.036,0.046,0.032,0.048,0.048,0.044,0.032,0.028,0.038,0.02,0.04,0.048,0.038,0.038,0.028,0.036,0.034,0.024,0.042,0.04,0.034,0.05,0.038,0.034,0.048,0.032,0.048,0.038,0.02,0.032,0.042,0.05,0.018,0.024,0.034,0.046,0.034,0.03,0.026,0.056,0.036,0.058,0.046,0.028,0.032,0.06
"10",1.18,0.05,0.066,0.042,0.04,0.042,0.066,0.054,0.052,0.07,0.058,0.052,0.064,0.05,0.062,0.054,0.054,0.05,0.05,0.052,0.042,0.06,0.044,0.058,0.044,0.052,0.046,0.064,0.05,0.064,0.054,0.06,0.06,0.068,0.048,0.062,0.046,0.074,0.058,0.07,0.07,0.066,0.056,0.06,0.044,0.05,0.06,0.046,0.054,0.064,0.05
"11",1.2,0.064,0.062,0.086,0.082,0.084,0.054,0.076,0.088,0.086,0.086,0.098,0.076,0.078,0.074,0.08,0.086,0.06,0.076,0.06,0.054,0.09,0.084,0.07,0.084,0.064,0.082,0.074,0.088,0.072,0.088,0.052,0.072,0.074,0.082,0.054,0.086,0.068,0.058,0.05,0.078,0.07,0.076,0.062,0.066,0.086,0.078,0.084,0.08,0.058,0.054
