"","sigma.mult","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1",1,0.024,0.028,0.014,0.004,0.036,0.022,0.016,0.028,0.034,0.018,0.036,0.028,0.034,0.022,0.026,0.02,0.03,0.02,0.022,0.024,0.022,0.018,0.03,0.03,0.028,0.026,0.024,0.032,0.024,0.024,0.036,0.014,0.03,0.028,0.028,0.03,0.022,0.028,0.014,0.028,0.022,0.02,0.044,0.03,0.022,0.034,0.026,0.024,0.02,0.026
"2",1.02,0.028,0.024,0.038,0.034,0.04,0.034,0.028,0.042,0.024,0.038,0.026,0.026,0.032,0.018,0.028,0.04,0.036,0.042,0.03,0.036,0.028,0.028,0.038,0.046,0.026,0.038,0.026,0.026,0.036,0.048,0.026,0.046,0.024,0.026,0.018,0.034,0.026,0.032,0.036,0.016,0.028,0.016,0.026,0.04,0.032,0.038,0.034,0.036,0.026,0.034
"3",1.04,0.052,0.044,0.072,0.046,0.036,0.028,0.038,0.044,0.034,0.046,0.046,0.048,0.058,0.036,0.058,0.046,0.044,0.024,0.052,0.032,0.04,0.024,0.054,0.058,0.036,0.058,0.044,0.058,0.042,0.038,0.04,0.052,0.038,0.044,0.042,0.046,0.048,0.06,0.048,0.046,0.066,0.042,0.066,0.048,0.046,0.052,0.038,0.054,0.058,0.038
"4",1.06,0.078,0.062,0.076,0.068,0.074,0.074,0.072,0.054,0.096,0.08,0.074,0.07,0.094,0.072,0.068,0.072,0.068,0.052,0.082,0.076,0.064,0.094,0.072,0.064,0.074,0.054,0.074,0.058,0.092,0.056,0.1,0.07,0.064,0.068,0.068,0.08,0.066,0.076,0.094,0.068,0.084,0.102,0.078,0.048,0.074,0.054,0.086,0.068,0.078,0.07
"5",1.08,0.118,0.128,0.1,0.138,0.122,0.132,0.128,0.116,0.144,0.144,0.134,0.114,0.126,0.114,0.136,0.134,0.116,0.102,0.134,0.138,0.112,0.12,0.126,0.148,0.126,0.098,0.108,0.128,0.138,0.116,0.128,0.138,0.11,0.118,0.138,0.098,0.11,0.104,0.12,0.128,0.136,0.134,0.12,0.152,0.13,0.116,0.162,0.114,0.116,0.126
"6",1.1,0.19,0.192,0.188,0.2,0.202,0.216,0.198,0.188,0.2,0.178,0.208,0.212,0.224,0.208,0.206,0.202,0.178,0.196,0.236,0.216,0.186,0.184,0.206,0.202,0.194,0.19,0.212,0.164,0.208,0.216,0.232,0.214,0.208,0.2,0.212,0.162,0.186,0.168,0.178,0.21,0.18,0.188,0.196,0.16,0.192,0.222,0.176,0.196,0.206,0.206
"7",1.12,0.332,0.252,0.258,0.336,0.268,0.318,0.304,0.288,0.308,0.348,0.316,0.28,0.302,0.288,0.358,0.274,0.314,0.35,0.354,0.288,0.342,0.302,0.266,0.332,0.324,0.314,0.268,0.31,0.302,0.298,0.322,0.316,0.32,0.324,0.256,0.32,0.292,0.272,0.264,0.302,0.286,0.318,0.268,0.308,0.288,0.322,0.288,0.29,0.32,0.278
"8",1.14,0.448,0.454,0.406,0.414,0.416,0.47,0.412,0.424,0.39,0.426,0.446,0.408,0.44,0.464,0.418,0.392,0.452,0.456,0.438,0.394,0.45,0.414,0.434,0.438,0.424,0.412,0.42,0.44,0.442,0.396,0.444,0.422,0.372,0.432,0.39,0.424,0.44,0.42,0.394,0.394,0.416,0.396,0.444,0.454,0.436,0.476,0.436,0.406,0.462,0.404
"9",1.16,0.534,0.584,0.53,0.534,0.602,0.55,0.564,0.57,0.554,0.548,0.578,0.524,0.532,0.588,0.584,0.514,0.548,0.568,0.58,0.566,0.556,0.556,0.526,0.544,0.544,0.484,0.566,0.594,0.578,0.578,0.572,0.552,0.506,0.598,0.582,0.522,0.554,0.582,0.57,0.568,0.604,0.548,0.574,0.544,0.572,0.522,0.552,0.576,0.548,0.562
"10",1.18,0.668,0.698,0.676,0.692,0.66,0.694,0.674,0.684,0.682,0.702,0.668,0.66,0.684,0.694,0.686,0.684,0.674,0.674,0.71,0.676,0.706,0.69,0.698,0.652,0.682,0.648,0.644,0.686,0.7,0.634,0.672,0.702,0.7,0.69,0.668,0.69,0.676,0.73,0.648,0.656,0.69,0.69,0.676,0.704,0.664,0.686,0.666,0.682,0.676,0.68
"11",1.2,0.782,0.788,0.772,0.792,0.788,0.794,0.77,0.768,0.814,0.802,0.774,0.794,0.794,0.79,0.776,0.79,0.802,0.768,0.768,0.788,0.798,0.78,0.78,0.772,0.79,0.754,0.786,0.776,0.782,0.788,0.79,0.79,0.764,0.824,0.788,0.778,0.806,0.768,0.796,0.816,0.822,0.802,0.784,0.81,0.772,0.802,0.806,0.794,0.792,0.754
