"","sigma.mult","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1",1,0.022,0.03,0.028,0.03,0.032,0.028,0.026,0.02,0.03,0.064,0.03,0.04,0.026,0.028,0.036,0.026,0.034,0.034,0.032,0.034,0.032,0.026,0.032,0.038,0.036,0.03,0.022,0.048,0.04,0.038,0.04,0.026,0.028,0.03,0.022,0.03,0.03,0.046,0.036,0.022,0.03,0.032,0.034,0.032,0.044,0.026,0.032,0.04,0.028,0.04
"2",1.02,0.06,0.042,0.028,0.052,0.068,0.02,0.02,0.04,0.044,0.038,0.04,0.038,0.04,0.036,0.05,0.034,0.048,0.042,0.036,0.054,0.044,0.032,0.034,0.042,0.044,0.034,0.046,0.026,0.04,0.024,0.028,0.04,0.02,0.046,0.04,0.036,0.04,0.058,0.048,0.048,0.04,0.04,0.034,0.028,0.042,0.044,0.058,0.044,0.056,0.036
"3",1.04,0.058,0.064,0.066,0.064,0.066,0.062,0.048,0.07,0.052,0.062,0.062,0.056,0.072,0.044,0.058,0.05,0.072,0.044,0.056,0.068,0.06,0.036,0.064,0.048,0.052,0.064,0.068,0.054,0.046,0.078,0.082,0.066,0.04,0.048,0.066,0.068,0.054,0.066,0.072,0.058,0.05,0.066,0.068,0.03,0.066,0.058,0.068,0.062,0.072,0.056
"4",1.06,0.086,0.096,0.094,0.114,0.1,0.092,0.076,0.116,0.104,0.108,0.106,0.114,0.09,0.088,0.106,0.086,0.104,0.11,0.068,0.088,0.114,0.092,0.098,0.096,0.11,0.114,0.078,0.106,0.126,0.074,0.096,0.112,0.076,0.096,0.092,0.086,0.072,0.108,0.106,0.102,0.072,0.094,0.118,0.076,0.092,0.116,0.082,0.108,0.078,0.11
"5",1.08,0.146,0.162,0.16,0.19,0.152,0.16,0.214,0.168,0.144,0.188,0.152,0.166,0.164,0.158,0.172,0.16,0.152,0.176,0.16,0.184,0.164,0.152,0.13,0.162,0.172,0.16,0.17,0.158,0.16,0.148,0.152,0.158,0.144,0.148,0.17,0.156,0.178,0.17,0.202,0.16,0.164,0.14,0.166,0.154,0.134,0.164,0.144,0.182,0.122,0.152
"6",1.1,0.248,0.24,0.254,0.234,0.272,0.228,0.254,0.216,0.216,0.26,0.246,0.232,0.262,0.24,0.236,0.252,0.25,0.222,0.262,0.236,0.242,0.26,0.216,0.238,0.234,0.238,0.256,0.218,0.236,0.244,0.294,0.208,0.26,0.264,0.274,0.218,0.296,0.258,0.242,0.248,0.248,0.302,0.242,0.252,0.262,0.248,0.24,0.252,0.25,0.26
"7",1.12,0.366,0.328,0.352,0.334,0.364,0.35,0.39,0.366,0.366,0.35,0.348,0.348,0.392,0.358,0.356,0.392,0.366,0.354,0.364,0.366,0.34,0.396,0.382,0.372,0.352,0.332,0.332,0.34,0.35,0.394,0.422,0.35,0.354,0.364,0.38,0.35,0.334,0.366,0.352,0.328,0.314,0.344,0.366,0.374,0.348,0.388,0.388,0.356,0.408,0.38
"8",1.14,0.496,0.526,0.512,0.474,0.486,0.486,0.508,0.488,0.52,0.514,0.474,0.48,0.502,0.464,0.496,0.468,0.498,0.482,0.544,0.504,0.542,0.514,0.466,0.484,0.514,0.55,0.49,0.498,0.492,0.498,0.534,0.466,0.482,0.47,0.454,0.438,0.476,0.474,0.49,0.538,0.494,0.496,0.488,0.488,0.48,0.458,0.462,0.504,0.488,0.474
"9",1.16,0.64,0.626,0.646,0.608,0.638,0.628,0.63,0.642,0.65,0.614,0.628,0.622,0.62,0.606,0.644,0.632,0.616,0.614,0.608,0.628,0.592,0.594,0.598,0.638,0.614,0.658,0.634,0.652,0.618,0.634,0.606,0.65,0.618,0.602,0.646,0.622,0.6,0.676,0.642,0.628,0.63,0.602,0.618,0.624,0.604,0.586,0.64,0.64,0.622,0.624
"10",1.18,0.726,0.742,0.734,0.742,0.722,0.762,0.738,0.762,0.754,0.754,0.73,0.73,0.756,0.76,0.732,0.774,0.732,0.718,0.756,0.726,0.758,0.746,0.756,0.752,0.746,0.724,0.744,0.716,0.734,0.73,0.75,0.746,0.738,0.726,0.748,0.72,0.726,0.718,0.788,0.726,0.746,0.778,0.72,0.75,0.698,0.736,0.734,0.734,0.704,0.746
"11",1.2,0.826,0.818,0.832,0.836,0.822,0.83,0.844,0.818,0.856,0.828,0.808,0.856,0.81,0.822,0.856,0.832,0.86,0.808,0.816,0.824,0.834,0.834,0.8,0.848,0.832,0.836,0.834,0.802,0.85,0.858,0.824,0.816,0.832,0.81,0.798,0.778,0.828,0.862,0.854,0.818,0.822,0.86,0.84,0.842,0.838,0.812,0.838,0.832,0.838,0.812
