"","sigma.mult","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1",1,0.044,0.022,0.024,0.038,0.032,0.044,0.024,0.026,0.024,0.046,0.038,0.05,0.026,0.034,0.022,0.05,0.032,0.042,0.046,0.036,0.02,0.044,0.038,0.03,0.026,0.044,0.048,0.03,0.048,0.034,0.032,0.024,0.036,0.05,0.03,0.04,0.02,0.044,0.028,0.024,0.028,0.026,0.048,0.034,0.026,0.032,0.028,0.03,0.036,0.032
"2",1.02,0.056,0.054,0.046,0.05,0.03,0.032,0.04,0.044,0.04,0.04,0.04,0.054,0.052,0.052,0.056,0.036,0.042,0.038,0.032,0.044,0.036,0.028,0.044,0.044,0.046,0.042,0.032,0.044,0.038,0.044,0.044,0.03,0.056,0.048,0.048,0.054,0.042,0.042,0.04,0.052,0.04,0.038,0.036,0.04,0.056,0.042,0.06,0.044,0.05,0.06
"3",1.04,0.058,0.048,0.052,0.062,0.078,0.076,0.08,0.06,0.076,0.078,0.07,0.058,0.09,0.07,0.072,0.072,0.072,0.068,0.074,0.07,0.066,0.076,0.06,0.052,0.076,0.082,0.07,0.066,0.074,0.076,0.072,0.068,0.08,0.056,0.05,0.056,0.072,0.068,0.08,0.074,0.058,0.088,0.072,0.09,0.086,0.07,0.072,0.06,0.062,0.068
"4",1.06,0.106,0.12,0.104,0.094,0.088,0.112,0.12,0.1,0.116,0.122,0.122,0.118,0.094,0.106,0.116,0.106,0.122,0.128,0.092,0.102,0.09,0.122,0.104,0.13,0.11,0.106,0.116,0.076,0.076,0.134,0.124,0.122,0.144,0.098,0.144,0.114,0.126,0.126,0.108,0.132,0.092,0.106,0.112,0.116,0.11,0.086,0.098,0.11,0.12,0.112
"5",1.08,0.198,0.19,0.172,0.176,0.19,0.17,0.186,0.188,0.182,0.168,0.152,0.166,0.184,0.142,0.158,0.174,0.182,0.192,0.19,0.166,0.18,0.192,0.184,0.148,0.186,0.192,0.178,0.194,0.164,0.21,0.188,0.162,0.162,0.16,0.172,0.186,0.172,0.162,0.182,0.172,0.156,0.2,0.18,0.164,0.176,0.164,0.196,0.164,0.164,0.184
"6",1.1,0.28,0.272,0.258,0.276,0.274,0.256,0.29,0.276,0.286,0.292,0.272,0.252,0.282,0.29,0.278,0.294,0.232,0.274,0.262,0.288,0.246,0.25,0.322,0.272,0.284,0.274,0.318,0.256,0.28,0.282,0.26,0.282,0.218,0.27,0.292,0.284,0.292,0.33,0.268,0.258,0.302,0.284,0.288,0.264,0.27,0.252,0.334,0.27,0.242,0.316
"7",1.12,0.41,0.424,0.37,0.408,0.39,0.348,0.382,0.368,0.372,0.364,0.382,0.378,0.408,0.416,0.376,0.378,0.342,0.388,0.41,0.392,0.39,0.422,0.412,0.386,0.366,0.386,0.384,0.34,0.372,0.378,0.388,0.398,0.41,0.352,0.376,0.354,0.42,0.4,0.392,0.42,0.392,0.446,0.398,0.374,0.382,0.426,0.36,0.398,0.402,0.368
"8",1.14,0.522,0.508,0.536,0.504,0.462,0.556,0.538,0.532,0.542,0.51,0.504,0.516,0.516,0.518,0.5,0.518,0.506,0.526,0.522,0.542,0.546,0.528,0.514,0.5,0.5,0.548,0.506,0.502,0.496,0.51,0.526,0.518,0.504,0.482,0.542,0.544,0.546,0.514,0.53,0.532,0.544,0.538,0.504,0.506,0.49,0.538,0.538,0.514,0.512,0.51
"9",1.16,0.63,0.644,0.654,0.624,0.618,0.654,0.634,0.636,0.656,0.622,0.642,0.66,0.658,0.644,0.642,0.646,0.67,0.646,0.61,0.636,0.632,0.656,0.66,0.632,0.68,0.662,0.646,0.664,0.668,0.652,0.632,0.642,0.634,0.646,0.68,0.62,0.642,0.628,0.626,0.676,0.636,0.606,0.662,0.69,0.626,0.63,0.624,0.662,0.628,0.654
"10",1.18,0.774,0.764,0.748,0.778,0.756,0.77,0.73,0.772,0.752,0.772,0.756,0.79,0.752,0.764,0.748,0.726,0.788,0.766,0.73,0.752,0.746,0.736,0.758,0.764,0.786,0.764,0.772,0.746,0.742,0.77,0.724,0.742,0.794,0.778,0.76,0.788,0.774,0.756,0.76,0.816,0.766,0.76,0.734,0.754,0.752,0.746,0.726,0.762,0.782,0.782
"11",1.2,0.834,0.85,0.866,0.818,0.834,0.83,0.866,0.826,0.82,0.84,0.832,0.85,0.838,0.854,0.832,0.844,0.872,0.834,0.842,0.868,0.856,0.88,0.834,0.846,0.842,0.862,0.82,0.804,0.826,0.838,0.836,0.852,0.848,0.858,0.828,0.826,0.88,0.866,0.866,0.858,0.832,0.842,0.856,0.83,0.848,0.822,0.836,0.868,0.834,0.816
