"","Signal.Strength","Multiple.Kernel.1","Multiple.Kernel.2","Multiple.Kernel.3","Single.Kernel.1","Single.Kernel.2"
"1",1,0.004,0.02,0.002,0.044,0.038
"2",1.02,0,0.022,0.004,0.046,0.05
"3",1.04,0.006,0.004,0.004,0.054,0.064
"4",1.06,0.018,0.04,0.014,0.068,0.03
"5",1.08,0.064,0.082,0.048,0.054,0.054
"6",1.1,0.18,0.246,0.126,0.068,0.058
"7",1.12,0.416,0.49,0.346,0.058,0.084
"8",1.14,0.708,0.79,0.672,0.066,0.06
"9",1.16,0.894,0.938,0.906,0.078,0.048
"10",1.18,0.984,0.998,0.98,0.07,0.082
"11",1.2,1,0.998,0.996,0.122,0.122
